script,lines,create_calls,decompiled_sha256,corpus
BDBAN030.BCS,40,0,1065e34027cfc7784d0ade24777e1831bd6d0bc0ad6a16b12defa0a76b834488,baf
BDBAN032.BCS,40,0,2a4cfa04ce40406cdf78b9fd1caa8500de62f441f83e95d61ece844a445f937e,baf
BDBAN033.BCS,56,0,c4dd60031f4a2cedc65d6066f803776647a45d74642f3c59176995203de0e552,baf
BDBAN034.BCS,44,0,26f12d58516e630687eb097e08e9c1bf51305a8fe0bfc214059b5238ecf399c3,baf
BDBAN036.BCS,36,0,f2f17d8b5deedebb1e823bb68e94e13e19e9e76b36249661ec4174fcc5ece008,baf
BDBAN037.BCS,110,0,1cadcadc82c283592358d5c2620584771831b5b453b2b8c97c564f7fe68bc2f5,baf
BDBAN038.BCS,50,0,c9c8f09efe2322b24b8285f77506a9a7c26366cd77f4e48185266017d2b9b189,baf
BDBAN039.BCS,74,0,42c1e2b3627f938edf046239f55cac21af428fc48e11289eb13a69017ec58406,baf
BDBAN040.BCS,36,0,7379f4fc3ade895ce7d770ccde0b14a76f5c8b9911e582239b77d2402b7b8d67,baf
BDBAN041.BCS,36,0,f2197ef649551469663688672c1d4143a7269ce93929f7537848c542b572f76b,baf
BDBAN042.BCS,24,0,1d34308e682c1f6f3a35e2a2cfe369a9ea5c056e6cfeb281f5538ddb7e115ec6,baf
BDBAN043.BCS,36,0,475b7b05279864c8bcad2710f67f7bdd7e42ea4ec51b7693f7a6657c56895616,baf
BDBAN044.BCS,50,0,f526771c5e43efe3c06307b4f58b37e1279cad9151bf32da594157255dbd18e0,baf
BDBAN045.BCS,58,0,6718c267093d373c9db19b2dab022936fa97994496e1e9b3043e20bbd51b9edb,baf
BDBAN046.BCS,48,0,c55a4ec71644556b822ddcc3d3299d265dceb23e26df31e490ab5bb111170d95,baf
BDBAN047.BCS,62,0,3e29a2edc98f39dfb851be6ef0553f4fae6409ba70d88a2db7e14ab0f2b7e07d,baf
BDBAN048.BCS,44,0,2189944908c6bac7c8406509cbdd3a2ff9881e3df083a476b31e408e7970b3b8,baf
BDBAN049.BCS,32,0,cb4d55697ac988467ad8ab6de33e882fac8e1ad8114d8dfe329c63394be3c6cc,baf
BDBAN050.BCS,58,0,ba371903bb623decd31fbab97ba4f522fa5d64a15fc97ea4fd9bc9f0e96eb0c8,baf
BDBAN051.BCS,44,0,542e2b60ce0048901f34f609ae90e5bd5af74a766033e8480ff5b285e4db95fc,baf
BDBAN052.BCS,32,0,dc510e18bdde4bec0e8922700ca5c19e59b080c54e8d8315e231ed9fa678a6fc,baf
BDBAN053.BCS,44,0,3898996035dcacff388d56a8924602f0ce6a95ad857c78a806108b561dff6c74,baf
BDBAN054.BCS,62,0,fcba5fd5ae93a7860fea4636f9d3d0080733dd0e8bc3d429d74aff9eb21fec0f,baf
BDBAN055.BCS,32,0,19f057a9786cfbabc2043e9ab84c9e1855b563f17a27200fafa618e28c59cbc4,baf
BDBAN056.BCS,76,0,7a9e4bb43b8574a17b4e9bc7bf6d0c71cb6a8c6e581ff455535a5b1ffc962ad5,baf
BDBAN057.BCS,28,0,6c49e3949d413405b825994766d4012b5ba8796211795bba2f5a2f04463f7cc2,baf
BDBAN058.BCS,36,0,604c296891d3f7a7bda01f04c00a147231f9a9d46e6526d8a22d29be301c30e0,baf
BDBAN059.BCS,58,0,ad85dfae9efd9ef0034e149a858979189a2aad3b56ca1bbeacca446ee9cbd5a7,baf
BDBAN060.BCS,44,0,0ab920ea55bb2aa9337c4a693461a38ef9e31e6cb9c422f5d849538f58c88336,baf
BDBAN061.BCS,40,0,aa1d9f1a96ee66c7fd5400382e5b6657d45c685ec08bb38f82296eb096a36585,baf
BDBAN062.BCS,36,0,b3fc0dff27f36e27a1d62ebdb62da9ad882269da0b0a577ce30bf543693c957d,baf
BDBAN063.BCS,24,0,ae0af4c662c159b5633d08a437c5a2a4c23670dadd506b6b5fefb01aae6a79a4,baf
BDBAN064.BCS,54,0,8780a8ad8973d36afe7a228bd619a7f67a154191d2de791614ec73fb6165e18d,baf
BDBAN065.BCS,36,0,7d10d5bd866226e1cd3483dc6eddb40729e96a3f3007fa0d416195c4bf4b1a56,baf
BDBAN066.BCS,40,0,a317b5ca4c29932d01e9f1fdb990153dbad545c66eaaabe1f91cfd06a207e82d,baf
BDBAN067.BCS,36,0,c5ab272bb1e2a44efae33e0378f89ee9985ec46354d43eb84bf4dda91aff65dd,baf
BDBAN068.BCS,44,0,a5fdf4047b3d5bb02fa8cecf90e6b0928e9a1463a5138d486f8a8a2c4c64afce,baf
BDBAN069.BCS,48,0,674c9ad581df1cc90c11d18d732f5ac157a6482de19e11fb1212d3dd168aa510,baf
BDBAN070.BCS,28,0,d1a821c85c63357b23cf48ca4db817a87750bec806156c54e5820bc45ab5da3e,baf
BDBAN071.BCS,36,0,0449875bf6ec8a0b9689c7f905135c82a77c401a0341f3dbabbf8fccbaa0e93e,baf
BDBAN072.BCS,40,0,77bc181a45229028242df0f18738205d301d7c9b16f7d29f793655467d887854,baf
